yyxlbm,lcbm,yxrq,trip_key,起点站,终到站,方向,列车定员,总上客量,总下客量,峰值车上人数,平均上座率,最大断面满载率,最拥挤区间,备注,人公里(PKM),车公里(TKM),平均断面客流
39,173,20150103,1938,成都东,重庆北,reverse,1418.0,1817.0,1817.0,1402.0,0.9855937129647571,0.9887165021156559,1690->1689,,437440.0,313.0,1397.5718849840255
39,175,20150103,2105,成都东,重庆北,reverse,1418.0,1657.0,1657.0,1398.0,0.9710432278734842,0.9858956276445698,1695->1694,,430982.0,313.0,1376.9392971246007
39,166,20150103,1555,成都东,重庆北,reverse,1418.0,1466.0,1466.0,1404.0,0.984005281253802,0.9901269393511989,1689->1037,,436735.0,313.0,1395.3194888178914
39,147,20150103,0740,重庆北,成都东,forward,1378.0,1482.0,1482.0,1313.0,0.7015445823692252,0.9528301886792453,810->1694,,302586.0,313.0,966.7284345047923
39,151,20150103,0910,重庆北,成都东,forward,1418.0,1637.0,1637.0,1353.0,0.9178904725640668,0.9541607898448519,1694->1695,,407391.0,313.0,1301.5686900958467
39,149,20150103,0811,重庆北,成都,,1378.0,,,,,,,'start_id=1037 或 end_id=1640 不在合并站点序列中',,,
89,156,20150103,1130,重庆北,成都东,forward,1418.0,1315.0,1315.0,1315.0,0.9273624823695346,0.9273624823695346,1037->1689,,411595.0,313.0,1315.0
89,283,20150103,1118,重庆北,成都东,forward,1418.0,1321.0,1321.0,1321.0,0.9315937940761636,0.9315937940761636,1037->1689,,413473.0,313.0,1321.0
39,153,20150103,1010,重庆北,成都东,forward,1418.0,1336.0,1336.0,1336.0,0.9421720733427362,0.9421720733427362,1037->1689,,418168.0,313.0,1336.0
39,159,20150103,1304,重庆北,成都东,forward,1418.0,1684.0,1684.0,1414.0,0.9778160303176413,0.997179125528914,810->1694,,433988.0,313.0,1386.5431309904154
39,163,20150103,1530,重庆北,成都东,forward,1418.0,2047.0,2047.0,1394.0,0.9259047301468567,0.9830747531734838,1694->1695,,410948.0,313.0,1312.932907348243
39,161,20150103,1427,重庆北,成都东,forward,1418.0,1495.0,1495.0,1358.0,0.9543140002793837,0.9576868829337094,1690->810,,423557.0,313.0,1353.217252396166
39,165,20150103,1614,重庆北,成都东,forward,1418.0,1461.0,1461.0,1411.0,0.9674810852706192,0.9950634696755994,810->1694,,429401.0,313.0,1371.888178913738
89,464,20150103,1226,重庆北,成都,forward,1418.0,1330.0,1330.0,1330.0,0.9379407616361072,0.9379407616361072,1037->1689,,441560.0,332.0,1330.0
39,167,20150103,1709,重庆北,成都东,forward,1418.0,1570.0,1570.0,1345.0,0.9447090578910133,0.9485190409026798,1690->810,,419294.0,313.0,1339.5974440894568
39,169,20150103,1734,重庆北,成都,,1418.0,,,,,,,'start_id=1037 或 end_id=1640 不在合并站点序列中',,,
89,465,20150103,1959,重庆北,成都东,forward,1378.0,1336.0,1336.0,1336.0,0.969521044992743,0.969521044992743,1037->1689,,418168.0,313.0,1336.0
39,171,20150103,1827,重庆北,成都东,forward,1378.0,1538.0,1538.0,1339.0,0.9483995418650913,0.9716981132075472,1694->1695,,409058.0,313.0,1306.8945686900959
89,177,20150103,0618,重庆北,成都,forward,1378.0,286.0,286.0,286.0,0.20754716981132076,0.20754716981132076,1037->1689,,94952.0,332.0,286.0
39,154,20150104,1009,成都东,重庆北,reverse,1378.0,676.0,676.0,676.0,0.49056603773584906,0.49056603773584906,1695->1694,,211588.0,313.0,676.0
39,158,20150104,1230,成都东,重庆北,reverse,1418.0,1919.0,1919.0,1372.0,0.9495712360927734,0.9675599435825106,1690->1689,,421452.0,313.0,1346.4920127795526
39,155,20150104,1038,成都,重庆北,,1418.0,,,,,,,'start_id=1640 或 end_id=1037 不在合并站点序列中',,,
39,152,20150104,0912,成都东,重庆北,reverse,1418.0,1169.0,1169.0,1169.0,0.8244005641748943,0.8244005641748943,1695->1694,,365897.0,313.0,1169.0
39,162,20150104,1400,成都东,重庆北,reverse,1418.0,1698.0,1698.0,1374.0,0.9504409306182041,0.9689703808180536,1690->1689,,421838.0,313.0,1347.7252396166134
39,157,20150104,1207,成都东,重庆北,reverse,1418.0,680.0,680.0,680.0,0.4795486600846262,0.4795486600846262,1695->1694,,212840.0,313.0,680.0
39,168,20150104,1709,成都东,重庆北,reverse,1418.0,820.0,820.0,680.0,0.47420882582226687,0.4795486600846262,1695->1694,,210470.0,313.0,672.4281150159744
39,164,20150104,1445,成都,重庆北,,1418.0,,,,,,,'start_id=1640 或 end_id=1037 不在合并站点序列中',,,
39,170,20150104,1809,成都东,重庆北,reverse,1418.0,1439.0,1439.0,1373.0,0.9593609322404323,0.9682651622002821,1689->1037,,425797.0,313.0,1360.373801916933
39,148,20150104,0749,成都,重庆北,,1418.0,,,,,,,'start_id=1640 或 end_id=1037 不在合并站点序列中',,,
39,173,20150104,1938,成都东,重庆北,reverse,1418.0,1500.0,1500.0,1369.0,0.9578783959768742,0.9654442877291961,1689->1037,,425139.0,313.0,1358.2715654952076
39,175,20150104,2105,成都东,重庆北,reverse,1418.0,764.0,764.0,685.0,0.47959146888251014,0.4830747531734838,1695->1694,,212859.0,313.0,680.0607028753993
39,166,20150104,1555,成都东,重庆北,reverse,1418.0,737.0,737.0,683.0,0.47776871533050647,0.48166431593794073,1689->1037,,212050.0,313.0,677.4760383386581
39,151,20150104,0910,重庆北,成都东,forward,1418.0,976.0,976.0,682.0,0.4436230662815377,0.4809590973201692,1694->1695,,196895.0,313.0,629.0575079872204
39,147,20150104,0740,重庆北,成都东,forward,1378.0,876.0,876.0,681.0,0.4481190037884233,0.4941944847605225,810->1694,,193280.0,313.0,617.5079872204473
39,159,20150104,1304,重庆北,成都东,forward,1418.0,1090.0,1090.0,681.0,0.4759211777376226,0.4802538787023977,810->1694,,211230.0,313.0,674.8562300319488
39,149,20150104,0811,重庆北,成都,,1378.0,,,,,,,'start_id=1037 或 end_id=1640 不在合并站点序列中',,,
89,156,20150104,1130,重庆北,成都东,forward,1418.0,1300.0,1300.0,1300.0,0.9167842031029619,0.9167842031029619,1037->1689,,406900.0,313.0,1300.0
39,161,20150104,1427,重庆北,成都东,forward,1418.0,825.0,825.0,685.0,0.47691929865670496,0.4830747531734838,1690->810,,211673.0,313.0,676.2715654952077
39,163,20150104,1530,重庆北,成都东,forward,1418.0,1730.0,1730.0,1347.0,0.9319272520807329,0.9499294781382228,1694->1695,,413621.0,313.0,1321.4728434504793
39,153,20150104,1010,重庆北,成都东,forward,1418.0,1277.0,1277.0,1277.0,0.9005641748942173,0.9005641748942173,1037->1689,,399701.0,313.0,1277.0
89,464,20150104,1226,重庆北,成都,forward,1418.0,661.0,661.0,661.0,0.46614950634696756,0.46614950634696756,1037->1689,,219452.0,332.0,661.0
39,171,20150104,1827,重庆北,成都东,forward,1378.0,815.0,815.0,670.0,0.47546798851880534,0.4862119013062409,1694->1695,,205076.0,313.0,655.1948881789137
89,465,20150104,1959,重庆北,成都东,forward,1378.0,591.0,591.0,591.0,0.4288824383164006,0.4288824383164006,1037->1689,,184983.0,313.0,591.0
39,167,20150104,1709,重庆北,成都东,forward,1418.0,1522.0,1522.0,1335.0,0.938093972070639,0.9414668547249647,1690->810,,416358.0,313.0,1330.217252396166
39,169,20150104,1734,重庆北,成都,,1418.0,,,,,,,'start_id=1037 或 end_id=1640 不在合并站点序列中',,,
39,154,20150105,1009,成都东,重庆北,reverse,1378.0,677.0,677.0,677.0,0.49129172714078373,0.49129172714078373,1695->1694,,211901.0,313.0,677.0
39,155,20150105,1038,成都,重庆北,,1418.0,,,,,,,'start_id=1640 或 end_id=1037 不在合并站点序列中',,,
39,152,20150105,0912,成都东,重庆北,reverse,1418.0,596.0,596.0,596.0,0.4203102961918195,0.4203102961918195,1695->1694,,186548.0,313.0,596.0
39,157,20150105,1207,成都东,重庆北,reverse,1418.0,682.0,682.0,682.0,0.4809590973201692,0.4809590973201692,1695->1694,,213466.0,313.0,682.0
39,162,20150105,1400,成都东,重庆北,reverse,1418.0,862.0,862.0,688.0,0.4782035625932218,0.48519040902679833,1689->1037,,212243.0,313.0,678.0926517571885
39,158,20150105,1230,成都东,重庆北,reverse,1418.0,1030.0,1030.0,684.0,0.4739767570758437,0.4823695345557123,1689->1037,,210367.0,313.0,672.0990415335464
39,164,20150105,1445,成都,重庆北,,1418.0,,,,,,,'start_id=1640 或 end_id=1037 不在合并站点序列中',,,
39,168,20150105,1709,成都东,重庆北,reverse,1418.0,793.0,793.0,683.0,0.450729326730264,0.48166431593794073,1695->1694,,200049.0,313.0,639.1341853035144
39,170,20150105,1809,成都东,重庆北,reverse,1418.0,734.0,734.0,687.0,0.4817026185465737,0.4844851904090268,1689->1037,,213796.0,313.0,683.0543130990416
39,148,20150105,0749,成都,重庆北,,1418.0,,,,,,,'start_id=1640 或 end_id=1037 不在合并站点序列中',,,
39,173,20150105,1938,成都东,重庆北,reverse,1418.0,783.0,783.0,686.0,0.47823285282335287,0.4837799717912553,1689->1037,,212256.0,313.0,678.1341853035144
39,175,20150105,2105,成都东,重庆北,reverse,1418.0,754.0,754.0,681.0,0.47737442377104955,0.4802538787023977,1695->1694,,211875.0,313.0,676.9169329073483
39,166,20150105,1555,成都东,重庆北,reverse,1418.0,742.0,742.0,685.0,0.4763965807035964,0.4830747531734838,1689->1037,,211441.0,313.0,675.5303514376997
39,151,20150105,0910,重庆北,成都东,forward,1418.0,934.0,934.0,682.0,0.4564431747004511,0.4809590973201692,1694->1695,,202585.0,313.0,647.2364217252397
39,147,20150105,0740,重庆北,成都东,forward,1378.0,843.0,843.0,670.0,0.464916510940985,0.4862119013062409,810->1694,,200525.0,313.0,640.6549520766773
39,149,20150105,0811,重庆北,成都,,1378.0,,,,,,,'start_id=1037 或 end_id=1640 不在合并站点序列中',,,
39,153,20150105,1010,重庆北,成都东,forward,1418.0,647.0,647.0,647.0,0.45627644569816644,0.45627644569816644,1037->1689,,202511.0,313.0,647.0
39,159,20150105,1304,重庆北,成都东,forward,1418.0,1037.0,1037.0,680.0,0.4747157721129972,0.4795486600846262,810->1694,,210695.0,313.0,673.14696485623
89,156,20150105,1130,重庆北,成都东,forward,1418.0,654.0,654.0,654.0,0.461212976022567,0.461212976022567,1037->1689,,204702.0,313.0,654.0
89,464,20150105,1226,重庆北,成都,forward,1418.0,660.0,660.0,660.0,0.46544428772919605,0.46544428772919605,1037->1689,,219120.0,332.0,660.0
39,161,20150105,1427,重庆北,成都东,forward,1418.0,792.0,792.0,674.0,0.47257307912417706,0.47531734837799716,1690->810,,209744.0,313.0,670.108626198083
39,163,20150105,1530,重庆北,成都东,forward,1418.0,830.0,830.0,683.0,0.4650950580622485,0.48166431593794073,1694->1695,,206425.0,313.0,659.5047923322684
39,169,20150105,1734,重庆北,成都,,1418.0,,,,,,,'start_id=1037 或 end_id=1640 不在合并站点序列中',,,
39,171,20150105,1827,重庆北,成都东,forward,1378.0,763.0,763.0,668.0,0.456651070913534,0.4847605224963715,1689->1690,,196960.0,313.0,629.2651757188498
39,167,20150105,1709,重庆北,成都东,forward,1418.0,785.0,785.0,669.0,0.4703042128363307,0.4717912552891396,1689->1690,,208737.0,313.0,666.891373801917
39,155,20150106,1038,成都,重庆北,,1418.0,,,,,,,'start_id=1640 或 end_id=1037 不在合并站点序列中',,,
39,154,20150106,1009,成都东,重庆北,reverse,1378.0,670.0,670.0,670.0,0.4862119013062409,0.4862119013062409,1695->1694,,209710.0,313.0,670.0
39,157,20150106,1207,成都东,重庆北,reverse,1418.0,680.0,680.0,680.0,0.4795486600846262,0.4795486600846262,1695->1694,,212840.0,313.0,680.0
39,152,20150106,0912,成都东,重庆北,reverse,1418.0,306.0,306.0,306.0,0.2157968970380818,0.2157968970380818,1695->1694,,95778.0,313.0,306.0
39,162,20150106,1400,成都东,重庆北,reverse,1418.0,891.0,891.0,684.0,0.4725978631650572,0.4823695345557123,1689->1037,,209755.0,313.0,670.1437699680512
39,158,20150106,1230,成都东,重庆北,reverse,1418.0,988.0,988.0,683.0,0.4629005438970426,0.48166431593794073,1689->1037,,205451.0,313.0,656.3929712460064
39,164,20150106,1445,成都,重庆北,,1418.0,,,,,,,'start_id=1640 或 end_id=1037 不在合并站点序列中',,,
39,168,20150106,1709,成都东,重庆北,reverse,1418.0,832.0,832.0,684.0,0.46621935228035705,0.4823695345557123,1695->1694,,206924.0,313.0,661.0990415335464
39,170,20150106,1809,成都东,重庆北,reverse,1418.0,779.0,779.0,687.0,0.4811461041740831,0.4844851904090268,1689->1037,,213549.0,313.0,682.2651757188498
39,148,20150106,0749,成都,重庆北,,1418.0,,,,,,,'start_id=1640 或 end_id=1037 不在合并站点序列中',,,
39,173,20150106,1938,成都东,重庆北,reverse,1418.0,787.0,787.0,687.0,0.4823695345557123,0.4844851904090268,1689->1037,,214092.0,313.0,684.0
39,166,20150106,1555,成都东,重庆北,reverse,1418.0,737.0,737.0,680.0,0.47676608822217315,0.4795486600846262,1689->1037,,211605.0,313.0,676.0543130990416
39,147,20150106,0740,重庆北,成都东,forward,1378.0,807.0,807.0,676.0,0.4704322141177889,0.49056603773584906,810->1694,,202904.0,313.0,648.2555910543131
89,465,20150105,1959,重庆北,成都东,forward,1378.0,265.0,265.0,265.0,0.19230769230769232,0.19230769230769232,1037->1689,,82945.0,313.0,265.0
39,151,20150106,0910,重庆北,成都东,forward,1418.0,982.0,982.0,678.0,0.45476912539372827,0.4781382228490832,1694->1695,,201842.0,313.0,644.8626198083067
39,159,20150106,1304,重庆北,成都东,forward,1418.0,1044.0,1044.0,683.0,0.4754480278662743,0.48166431593794073,810->1694,,211020.0,313.0,674.185303514377
39,149,20150106,0811,重庆北,成都,,1378.0,,,,,,,'start_id=1037 或 end_id=1640 不在合并站点序列中',,,
89,156,20150106,1130,重庆北,成都东,forward,1418.0,650.0,650.0,650.0,0.45839210155148097,0.45839210155148097,1037->1689,,203450.0,313.0,650.0
39,161,20150106,1427,重庆北,成都东,forward,1418.0,771.0,771.0,674.0,0.4719061631150385,0.47531734837799716,1690->810,,209448.0,313.0,669.1629392971246
39,163,20150106,1530,重庆北,成都东,forward,1418.0,868.0,868.0,682.0,0.4650229590342335,0.4809590973201692,1694->1695,,206393.0,313.0,659.4025559105431
39,153,20150106,1010,重庆北,成都东,forward,1418.0,655.0,655.0,655.0,0.4619181946403385,0.4619181946403385,1037->1689,,205015.0,313.0,655.0
89,464,20150106,1226,重庆北,成都,forward,1418.0,659.0,659.0,659.0,0.46473906911142454,0.46473906911142454,1037->1689,,218788.0,332.0,659.0
39,175,20150106,2105,成都东,重庆北,reverse,1418.0,759.0,759.0,688.0,0.48353663757170473,0.48519040902679833,1689->1037,,214610.0,313.0,685.6549520766773
