zdid,lxid,ysfsbm,zdmc,station_code,station_telecode,station_shortname
站点id,,,站点名称,站点code,站点电报码,
311,1,1,巢北      ,16816,ICH,巢
312,1,1,肥东      ,16819,FIH,肥
313,1,1,金寨      ,16825,JZH,金
314,1,1,墩义堂    ,16827,RTH,墩
315,1,1,麻城北    ,16829,MBN,麻
316,1,1,红安西    ,16831,VXN,红
317,1,1,青龙山    ,17102,QGH,青
318,1,1,如皋      ,17120,RBH,如
319,1,1,涡阳      ,17198,GYH,涡
320,1,1,袁寨      ,17246,YRH,袁
321,1,1,颍上      ,17264,YVH,颍
322,1,1,张集      ,17270,VJH,张
323,1,1,六合      ,17361,KLH,六
324,1,1,仪征      ,17363,UZH,仪
325,1,1,扬州      ,17364,YLH,扬
326,1,1,江都      ,17366,UDH,江
327,1,1,泰州      ,17368,UTH,泰
328,1,1,姜堰      ,17369,UEH,姜
329,1,1,海安县    ,17370,HIH,海
330,1,1,栟茶      ,17373,FWH,栟
331,1,1,如东      ,17376,RIH,如
332,1,1,济南东    ,17699,JAK,济
333,1,1,章丘      ,17748,ZTK,章
334,1,1,淄博      ,17786,ZBK,淄
335,1,1,临淄      ,17861,LZK,临
336,1,1,青州市    ,17882,QZK,青
337,1,1,昌乐      ,17903,CLK,昌
338,1,1,潍坊      ,17912,WFK,潍
339,1,1,高密      ,17960,GMK,高
340,1,1,胶州北    ,17963,JZK,胶
341,1,1,胶州      ,17984,JXK,胶
342,1,1,蓝村      ,17999,LCK,蓝
343,1,1,即墨      ,18053,JMK,即
344,1,1,城阳      ,18056,CEK,城
345,1,1,沧口      ,18065,CKK,沧
346,1,1,四方      ,18077,SFK,四
347,1,1,大港      ,18086,DGK,大
348,1,1,青岛北    ,18088,QHK,青
349,1,1,青岛      ,18089,QDK,青
350,1,1,莱西      ,18515,LXK,莱
351,1,1,莱阳      ,18521,LYK,莱
352,1,1,海阳      ,18533,HYK,海
353,1,1,桃村      ,18539,TCK,桃
354,1,1,烟台      ,18557,YAK,烟
355,1,1,袁北      ,18851,WNH,袁
356,1,1,南通      ,19124,NUH,南
357,1,1,诸城      ,19286,ZQK,诸
358,1,1,五莲      ,19290,WLK,五
359,1,1,莒县      ,19294,JKK,莒
360,1,1,沂水      ,19295,YUK,沂
361,1,1,沂南      ,19297,YNK,沂
362,1,1,临沂北    ,19298,UYK,临
363,1,1,临沂南    ,19300,UNK,临
364,1,1,郯城      ,19304,TZK,郯
365,1,1,新沂西    ,19308,XDK,新
366,1,1,水家湖    ,19385,SQH,水
367,1,1,合肥南    ,19423,ENH,合
368,1,1,合肥      ,19424,HFH,合
369,1,1,合肥北城  ,19427,COH,合
370,1,1,淮南东    ,19430,HOH,淮
371,1,1,三十里铺  ,19465,LAH,三
372,1,1,蚌埠      ,19583,BBH,蚌
373,1,1,淮南      ,19682,HAH,淮
374,1,1,合肥西    ,19808,HTH,合
375,1,1,肥西      ,19826,FAH,肥
376,1,1,舒城      ,19844,OCH,舒
377,1,1,庐江      ,19862,UJH,庐
378,1,1,柯坦      ,19880,KTH,柯
379,1,1,桐城      ,19907,TTH,桐
380,1,1,安庆西    ,19943,APH,安
381,1,1,天柱山    ,19945,QWH,安
382,1,1,太湖      ,19988,TKH,太
383,1,1,宿松      ,20015,OAH,宿
384,1,1,黄梅      ,20033,VEH,黄
385,1,1,西道口    ,20153,IUP,西
386,1,1,良乡      ,20255,LAP,良
387,1,1,琉璃河    ,20261,LLP,琉
388,1,1,涿州      ,20276,ZXP,涿
389,1,1,高碑店    ,20282,GBP,高
390,1,1,定兴      ,20291,DQP,定
391,1,1,徐水      ,20300,XSP,徐
392,1,1,保定      ,20306,BDP,保
393,1,1,于家庄    ,20327,YRP,于
394,1,1,完县      ,20330,WXP,完
395,1,1,望都      ,20333,WDP,望
396,1,1,清风店    ,20336,QFP,清
397,1,1,定州      ,20339,DXP,定
398,1,1,寨西店    ,20348,ZFP,寨
399,1,1,承安铺    ,20351,CAP,承
400,1,1,新乐      ,20354,ELP,新
401,1,1,新安村    ,20357,XCP,新
402,1,1,正定      ,20360,ZDP,正
403,1,1,石家庄    ,20372,SJP,石
404,1,1,获鹿所    ,20375,KLP,获
405,1,1,元氏      ,20471,YSP,元
406,1,1,高邑      ,20477,GIP,高
407,1,1,邢台      ,20495,XTP,邢
408,1,1,沙河市    ,20510,VOP,沙
409,1,1,邯郸      ,20519,HDP,邯
410,1,1,马头      ,20543,MTP,马
411,1,1,磁县      ,20555,CIP,磁
412,1,1,安阳      ,20564,AYF,安
413,1,1,汤阴      ,20588,TYF,汤
414,1,1,鹤壁      ,20594,HAF,鹤
415,1,1,卫辉      ,20606,WHF,卫
416,1,1,新乡      ,20612,XXF,新
417,1,1,焦作东    ,20642,WEF,焦
418,1,1,郑州      ,20750,ZZF,郑
419,1,1,新郑      ,20780,XNF,新
420,1,1,长葛      ,20786,CEF,长
421,1,1,许昌      ,20792,XCF,许
422,1,1,临颍      ,20807,LNF,临
423,1,1,孟庙      ,20813,MMN,孟
424,1,1,漯河      ,20816,LON,漯
425,1,1,西平      ,20843,XPN,西
426,1,1,遂平      ,20852,SON,遂
427,1,1,驻马店    ,20858,ZDN,驻
428,1,1,确山      ,20870,QSN,确
429,1,1,明港      ,20888,MGN,明
430,1,1,信阳      ,20903,XUN,信
431,1,1,广水      ,20948,GSN,广
432,1,1,花园      ,20981,HUN,广
433,1,1,孝感      ,20990,XGN,孝
434,1,1,武汉北    ,21012,WZN,武
435,1,1,滠口      ,21014,SKN,滠
436,1,1,丹水池    ,21026,DCN,丹
437,1,1,汉口      ,21050,HKN,汉
438,1,1,汉西      ,21059,HXN,汉
439,1,1,武昌      ,21077,WCN,武
440,1,1,余家湾    ,21086,YWN,余
441,1,1,武昌南    ,21089,WNN,武
442,1,1,北京西    ,21152,BXP,京
443,1,1,午汲      ,21344,WJP,午
444,1,1,林村      ,21410,LCP,林
445,1,1,康城      ,21416,KCP,康
446,1,1,武安      ,21419,WAP,武
447,1,1,磁山      ,21425,CSP,磁
448,1,1,磁西      ,21494,CRP,磁
449,1,1,徘徊北    ,21497,PHP,徘
450,1,1,新固镇    ,21500,XQP,新
451,1,1,什里店    ,21503,OMP,什
452,1,1,阳邑      ,21506,ARP,阳
453,1,1,豆庄      ,21509,ROP,豆
454,1,1,东戌      ,21512,RXP,东
455,1,1,偏店      ,21515,PRP,偏
456,1,1,井店      ,21518,JFP,井
457,1,1,涉县      ,21521,OEP,涉
458,1,1,弹音      ,21542,TEP,弹
459,1,1,悬钟      ,21545,XRP,悬
460,1,1,南峧      ,21551,NJP,南
461,1,1,东阳关    ,21557,RGP,东
462,1,1,黎城      ,21560,UCP,黎
463,1,1,水洋      ,21563,OYP,水
464,1,1,常村      ,21566,VCP,常
465,1,1,漫流河    ,21569,MIP,漫
466,1,1,微子镇    ,21575,WQP,微
467,1,1,潞城      ,21578,UTP,潞
468,1,1,北舍      ,21581,BNP,北
469,1,1,平顶山    ,21857,PEN,平
470,1,1,肖马杨所  ,21881,EEN,肖
471,1,1,何刘      ,21959,HIN,何
472,1,1,华容      ,21971,HRN,华
473,1,1,鄂州      ,21977,ECN,鄂
474,1,1,铁山      ,21986,TSN,铁
475,1,1,阳新      ,22043,YON,阳
476,1,1,西河村    ,22061,EHN,西
477,1,1,瑞昌      ,22088,RCG,瑞
478,1,1,九里垄    ,22100,VLG,九
479,1,1,黄石      ,22127,HSN,黄
480,1,1,周口      ,22367,ZKN,周
481,1,1,项城      ,22373,ERN,项
482,1,1,沈丘      ,22377,SQN,沈
483,1,1,界首市    ,22387,JUN,界
484,1,1,太和县    ,22391,JYN,太
485,1,1,杜家坎所  ,22501,DTP,杜
486,1,1,涿州东    ,22504,ZAP,涿
487,1,1,高碑店东  ,22507,GMP,高
488,1,1,徐水东    ,22510,EAP,徐
